date,close,volume
16:00,107.73,"26,802,450"
09/02/2016,107.73,"26,393,770"
09/01/2016,106.73,"26,675,250"
08/31/2016,106.1,"31,639,010"
08/30/2016,106,"24,817,940"
08/29/2016,106.82,"24,900,130"
08/26/2016,106.94,"27,744,300"
08/25/2016,107.57,"25,001,730"
08/24/2016,108.03,"23,606,240"
08/23/2016,108.85,"21,236,850"
08/22/2016,108.51,"25,784,420"
08/19/2016,109.36,"25,108,890"
08/18/2016,109.08,"21,918,340"
08/17/2016,109.22,"25,328,680"
08/16/2016,109.38,"33,754,680"
08/15/2016,109.48,"25,704,330"
08/12/2016,108.18,"18,648,700"
08/11/2016,107.93,"27,460,070"
08/10/2016,108,"23,839,880"
08/09/2016,108.81,"26,296,260"
08/08/2016,108.37,"28,010,430"
08/05/2016,107.48,"39,546,610"
08/04/2016,105.87,"26,781,730"
08/03/2016,105.79,"30,148,360"
08/02/2016,104.48,"33,770,220"
08/01/2016,106.05,"38,018,910"
07/29/2016,104.21,"27,697,970"
07/28/2016,104.34,"38,771,840"
07/27/2016,102.95,"92,143,920"
07/26/2016,96.67,"53,454,620"
07/25/2016,97.34,"40,290,580"
07/22/2016,98.66,"28,218,240"
07/21/2016,99.43,"32,690,080"
07/20/2016,99.96,"26,219,110"
07/19/2016,99.87,"23,766,360"
07/18/2016,99.83,"36,464,530"
07/15/2016,98.78,"30,031,410"
07/14/2016,98.79,"38,885,980"
07/13/2016,96.87,"25,879,680"
07/12/2016,97.42,"24,129,530"
07/11/2016,96.98,"23,317,990"
07/08/2016,96.68,"28,877,500"
07/07/2016,95.94,"24,460,850"
07/06/2016,95.53,"30,877,540"
07/05/2016,94.99,"27,553,750"
07/01/2016,95.89,"25,982,080"
06/30/2016,95.6,"35,783,320"
06/29/2016,94.4,"36,505,420"
06/28/2016,93.59,"40,387,960"
06/27/2016,92.04,"45,595,680"
06/24/2016,93.4,"75,219,710"
06/23/2016,96.1,"32,042,290"
06/22/2016,95.55,"29,124,140"
06/21/2016,95.91,"35,407,050"
06/20/2016,95.1,"34,355,970"
06/17/2016,95.33,"60,793,260"
06/16/2016,97.55,"31,251,870"
06/15/2016,97.14,"29,373,050"
06/14/2016,97.46,"31,890,740"
06/13/2016,97.34,"37,708,360"
06/10/2016,98.83,"31,672,220"
06/09/2016,99.65,"26,575,570"
06/08/2016,98.94,"20,839,950"
06/07/2016,99.03,"22,378,380"
06/06/2016,98.63,"23,265,200"
06/03/2016,97.92,"28,487,570"
06/02/2016,97.72,"40,170,200"
