date,close,volume
16:00,771.46,"1,072,658"
09/02/2016,771.46,"1,070,725"
09/01/2016,768.78,"925,019"
08/31/2016,767.05,"1,247,937"
08/30/2016,769.09,"1,129,932"
08/29/2016,772.15,"847,537"
08/26/2016,769.54,"1,164,713"
08/25/2016,769.41,"926,856"
08/24/2016,769.64,"1,071,569"
08/23/2016,772.08,"925,356"
08/22/2016,772.15,"950,417"
08/19/2016,775.42,"860,899"
08/18/2016,777.5,"718,882"
08/17/2016,779.91,"921,666"
08/16/2016,777.14,"1,027,836"
08/15/2016,782.44,"938,183"
08/12/2016,783.22,"739,761"
08/11/2016,784.85,"971,742"
08/10/2016,784.68,"784,559"
08/09/2016,784.26,"1,318,457"
08/08/2016,781.76,"1,106,693"
08/05/2016,782.22,"1,799,478"
08/04/2016,771.61,"1,139,972"
08/03/2016,773.18,"1,283,186"
08/02/2016,771.07,"1,782,822"
08/01/2016,772.88,"2,697,699"
07/29/2016,768.79,"3,830,103"
07/28/2016,745.91,"3,473,040"
07/27/2016,741.77,"1,509,133"
07/26/2016,738.42,"1,182,993"
07/25/2016,739.77,"1,031,643"
07/22/2016,742.74,"1,256,741"
07/21/2016,738.63,"1,022,229"
07/20/2016,741.19,"1,283,931"
07/19/2016,736.96,"1,225,467"
07/18/2016,733.78,"1,284,740"
07/15/2016,719.85,"1,277,514"
07/14/2016,720.95,"949,456"
07/13/2016,716.98,"933,352"
07/12/2016,720.64,"1,336,112"
07/11/2016,715.09,"1,107,039"
07/08/2016,705.63,"1,573,909"
07/07/2016,695.36,"1,303,661"
07/06/2016,697.77,"1,411,080"
07/05/2016,694.49,"1,462,879"
07/01/2016,699.21,"1,344,387"
06/30/2016,692.1,"1,597,298"
06/29/2016,684.11,"1,931,436"
06/28/2016,680.04,"2,169,704"
06/27/2016,668.26,"2,632,011"
06/24/2016,675.22,"4,442,943"
06/23/2016,701.87,"2,166,183"
06/22/2016,697.46,"1,182,161"
06/21/2016,695.94,"1,464,836"
06/20/2016,693.71,"2,080,645"
06/17/2016,691.72,"3,397,720"
06/16/2016,710.36,"1,981,657"
06/15/2016,718.92,"1,213,386"
06/14/2016,718.27,"1,303,808"
06/13/2016,718.36,"1,255,199"
06/10/2016,719.41,"1,213,989"
06/09/2016,728.58,"987,635"
06/08/2016,728.28,"1,583,325"
06/07/2016,716.65,"1,336,348"
06/06/2016,716.55,"1,565,955"
06/03/2016,722.34,"1,225,924"
06/02/2016,730.4,"1,340,664"
